オワタ\n\(^o^)/,おわた\n\(^o^)/
ｳｿﾞﾀﾞﾄﾞﾝﾄﾞｺﾄﾞｰﾝ!,うそだどんどこどーん
ｵｯﾍﾟｹﾃﾝﾑｯｷｰ!,おっぺけてんむっきー
インド人を右に！,いんどじんをみぎに
計画通り,けいかくどおり
粉バナナ,こなばなな
おそろしく速い手刀\nオレでなきゃ見逃しちゃうね,おそろしくはやいしゅとう\nおれでなきゃみのがしちゃうね
白って２００色あんねん,しろって２００しょくあんねん
ゲッダン,げっだん
努力未来 a beautiful star,どりょくみらいabeautifulstar
うわっ、私の年収低すぎ？,うわっ、わたしのねんしゅうひくすぎ
働いたら負けかなと思ってる,はたらいたらまけかなとおもってる
Nyanyanyanyanya,にゃにゃにゃにゃにゃ
スネ夫が自慢話をするときに流れている曲,すねおがじまんばなしをするときにながれているきょく
チャハーン,ちゃはーん
チャラチャラのパーハン,ちゃらちゃらのぱーはん
ゴツゴツのあはん,ごつごつのあはん
君は完璧で究極のゲッター,きみはかんぺきできゅうきょくのげったー
にゃんぱすー,にゃんぱすー
ドーンだYO！,どーんだyo
ネオアームストロングサイクロンジェットアームストロング砲,ねおあーむすとろんぐさいくろんじぇっとあーむすとろんぐほう
消しゴムマジックで消してやるのさ,けしごむまじっくでけしてやるのさ
えーりん！\nえーりん！,えーりん\nえーりん
FPSやめられないんだけどｗｗｗ,fpsやめられないんだけどwww
Hiya Georgie!,はーいじょーじぃ
ｗｗｗ,www
草,くさ
草超えて森超えてモーリーファンタジー,くさこえてもりこえてもーりーふぁんたじー
無駄に洗練された無駄の無い無駄な動き,むだにせんれんされたむだのないむだなうごき
チャリで来た。,ちゃりできた。
毒を盛られたことに気づいたセイキン,どくをもられたことにきづいたせいきん
404,404
インターネット最高！,いんたーねっとさいこう
恥を知れ,はじをしれ
十字のツメを食い込ませて壁や天井を這い回っていた。,じゅうじのつめをくいこませてかべやてんじょうをはいまわっていた。
現場猫,げんばねこ
ﾖｼ!,よし
△,さんかっけー
何が嫌いかより何が好きかで自分を語れよ！,なにがきらいかよりなにがすきかでじぶんをかたれよ
大丈夫だ、問題ない,だいじょうぶだもんだいない
そして輝くウルトラソウル,そしてかがやくうるとらそうる
刺身タンポポ,さしみたんぽぽ
ザ・エンドってね,ざ・えんどってね
バールのようなもの,ばーるのようなもの
強いよね。\n序盤、中盤、終盤、隙がないと思うよ。,つよいよね\nじょばんちゅうばんしゅうばんすきがないとおもうよ
どら焼きは主食になれない,どらやきはしゅしょくになれない
せっかく海に来たんだから海に行こうぜ,せっかくうみにきたんだからうみにいこうぜ
同情無き同情は同情とは言わず、同情する同情を同情と言う,どうじょうなきどうじょうはどうじょうとはいわずどうじょうするどうじょうをどうじょうという
またオレ何かやっちゃいました？,またおれなにかやっちゃいました？
デロト！開けろイト警察だ！,でとろあけろいとけいさつだ
吹　っ　切　れ　た,ふっきれた
爆発オチなんてサイテー！,ばくはつおちなんてさいてー
コックカワサキ,こっくかわさき
しんだんじゃないの～？,しんだんじゃないの
ソルトベイ,そるとべい
君たちはどう生きるか,きみたちはどういきるか
ぴえん,ぴえん
サイコロステーキ先輩,さいころすてーきせんぱい
待ってこれ手震えるんだけど,まってこれてふるえるんだけど
もうだめだぁ　おしまいだぁ,もうだめだぁおしまいだぁ
ｳｯｰｳｯｰｳﾏｳﾏ,うーうーうまうま
この川、深い！,このかわふかい
君なんか写真と違わない？,きみなんかしゃしんとちがわない？
僕の夏休み,ぼくのなつやすみ
TASさんの休日,tasさんのきゅうじつ
STAP細胞はあります,stapさいぼうはあります
orz,orz
緑の悪魔,みどりのあくま
出過杉くん,でかすぎくん
くぁｗせｄｒｆｔｇｙふじこｌｐ,くぁwせdrftgyふじこlp
そうはならんやろ\nなっとるやろがい！！,そうはならんやろ\nなっとるやろがい
お前が始めた物語だろ,おまえがはじめたものがたりだろ
ドカ食い気絶部,どかぐいきぜつぶ
今北産業,いまきたさんぎょう
上からくるぞ！気を付けろ！,うえからくるぞきをつけろ
アイワナ,あいわな
蟹,うに\ntako
キャベツ,きゃべつ
ちくわ大明神,ちくわだいみょうじん
千葉滋賀佐賀,ちばしがさが
希ガス,きがす
なにわろてんねん,なにわろてんねん
you are an idiot,youareanidiot
うちで踊ろう,うちでおどろう
結婚したのか、俺以外のヤツと,けっこんしたのかおれいがいのやつと
ユニバーサル横メルカトル図法,ゆにばーさるよこめるかとるずほう
畜生め！,ちくしょうめ
矢木に電流走る！,やぎにでんりゅうはしる
もぅﾏﾁﾞ無理,もぅまぢむり
もぅﾏﾁﾞ無理。\nｻｹ茶漬けしよ。\nｼﾞｭﾙﾊﾌﾁﾞｭﾙｺﾞｸﾞｹﾞﾌｯｹﾞﾌｯ！,もうまぢむり\nさけちゃづけしよ\nじゅるはふぢゅるごぐげふっげふっ
ナイト・オブ・ナイツ,ないと・おぶ・ないつ
まるかいて　ちょん,まるかいてちょん
国際信州学院大学,こくさいしんしゅうがくいんだいがく
次回\n　城之内死す,じかいじょうのうちしす
イヤンホホ,いやんほほ
ヘッドンホホ,へっどんほほ
実際にやってみた,じっさいにやってみた
こうしてこの世界にまた一つ新たなトリビアが生まれた,こうしてこのせかいにまたひとつあらたなとりびあがうまれた
奴は四天王の中でも最弱,やつはしてんのうのなかでもさいじゃく
シベリア送りだ,しべりあおくりだ
（ファミチキください）\nこいつ直接脳内に,ふぁみちきください\nこいつちょくせつのうないに
やっちゃったぜ,やっちゃったぜ
お前を殺す　ﾃﾞﾃﾞﾝ!,おまえをころすででん
判断が遅い,はんだんがおそい
wkwk,wkwk
勝ったな風呂入ってくる,かったなふろはいってくる
君のような勘のいいガキは嫌いだよ,きみのようなかんのいいがきはきらいだよ
蜜です！,みつです
あややとぅーや,あややとぅーや
びゃあ゛ぁ゛゛ぁうまひぃ゛ぃぃ゛,びゃあぁうまひぃ
ローポリぶどう,ろーぽりぶどう
ベイクドモチョチョ,べいくどもちょちょ
ﾁﾋﾟﾁﾋﾟ ﾁｬﾊﾟﾁｬﾊﾟ ﾄﾞｩﾋﾞﾄﾞｩﾋﾞﾀﾞﾊﾞﾀﾞﾊﾞﾏｼﾞｶﾙ ﾄﾞｩﾋﾞﾄﾞｩﾋﾞ ﾌﾞｰﾝﾌﾞｰﾝﾌﾞｰﾝﾌﾞｰﾝ,ちぴちぴちゃぱちゃぱどぅびどぅびだばだばまじかるどぅびどぅびぶーんぶーん
お寿司屋さんに来たんですけど、これは何をするところですか？,おすしやさんにきたんですけどこれはなにをするところですか
鳴らない言葉をもう一度描いて,ならないことばをもういちどえがいて
ggrks,ggrks
どうしてこうなった,どうしてこうなった
って、なんで俺くんが！？,ってなんでおれくんが
前から車が！,まえからくるまが
やはり暴力‼　暴力は全てを解決する‼,やはりぼうりょくぼうりょくはすべてをかいけつする
そらそうよ,そらそうよ
⑨,ばか
ハッピーハッピーハッピー♪,はっぴーはっぴーはっぴー
うそはうそであると見抜ける人でないと難しい,うそはうそであるとみぬけるひとでないとむずかしい
誰にも邪魔させない,だれにもじゃまさせない
粉砕！玉砕！大喝采！,ふんさいぎょくさいだいかっさい
ボボボーボ・ボーボボ,ぼぼぼーぼ・ぼーぼぼ
食ってみな、飛ぶぞ,くってみなとぶぞ
a,a
命がけでｯﾍｯﾍｴｴｪｴｪｴｴｲ,いのちがけでぇ
でっていう,でっていう
ACジャパンはこの活動を支援しています,acじゃぱんはこのかつどうをしえんしています
てんどんまんソロ,てんどんまんそろ
Bad apple!!,badapple!!
許してクレメンス,ゆるしてくれめんす
ガンジーでも助走つけて殴るレベル,がんじーでもじょそうつけてなぐるれべる
元気になったんだから　もっと元気出せよ,げんきになったんだからもっとげんきだせよ
データなんかねぇよ,でーたなんかねぇよ
SUSHI食べたい,sushiたべたい
サカバンバスピス,さかばんばすぴす
察しの悪い雨穴,さっしのわるいうけつ
忙しい人向け,いそがしいひとむけ
ねっておいしい　ねるねるねるね,ねっておいしいねるねるねるね
ウメハラがっ！！決めたぁぁー！,うめはらがきめたー
盛大に祝ってやる,せいだいにいわってやる
テレビもねぇ　ラジオもねぇ　車もそれほど走ってねぇ,てれびもねぇらじおもねぇくるまもそれほどはしってねぇ
一人で十体くらい倒せばいけるか,ひとりでじゅったいくらいたおせばいけるか
42,42
船降りろ,ふねおりろ
テーマパークに来たみたいだぜ\nテンションあがるなぁ,てーまぱーくにきたみたいだぜ\nてんしょんあがるなぁ
8888888888,8888888888
優しそうに聞こえても\nこれは犯罪者のセリフです,やさしそうにきこえても\nこれははんざいしゃのせりふです
ウ”ィ”エ”\n()()\n (),ゔぃえ
パフェいわし,ぱふぇいわし
まそっぷ,まそっぷ
洗濯科学のアリエール,せんたくかがくのありえーる
お前は最後に殺すと言ったな\nあれは嘘だ,おまえはさいごにころすといったな\nあれはうそだ
胃カメラですわ～,いかめらですわ
おめーの席ねぇから！,おめーのせきねぇから
ハナノア,はなのあ
うｐ乙,うぽつ
なぁにこれぇ,なぁにこれぇ
踏めば助かるのに,ふめばたすかるのに
口からブレーキ音,くちからぶれーきおん
ｼｬﾍﾞｯﾀｧｧｧ!!,しゃべったー
連続テレビ小説,れんぞくてれびしょうせつ
よろしくおねがいしまぁぁぁぁぁぁす！,よろしくおねがいしまーす
嘘だッ！,うそだ
お前ら人間じゃねぇ！,おまえらにんげんじゃねぇ
・・・ーーー・・・,・・・ーーー・・・
今のままではいけないと思います。だからこそ日本は今のままではいけないと思っている,いまのままではいけないとおもいますだからこそにほんはいまのままではいけないとおもっている
ニギニギ・コハクンチョス,にぎにぎ・こはくんちょす
ケツワープ,けつわーぷ
鼻☆塩☆塩,はなしおしお
You Died,youdied
激おこぷんぷん丸,げきおこぷんぷんまる
FF外から失礼します,FFがいからしつれいします
何にでも牛乳を注ぐ女,なんにでもぎゅうにゅうをそそぐおんな
コ　ロ　ン　ビ　ア,ころんびあ
ごめん、同級会には行けません,ごめんどうきゅうかいにはいけません
相手のゴールにｼｭｩｩｩ!!!,あいてのごーるにしゅー
5000兆円欲しい！,5000000000000000えんほしい
熱くなれよ！,あつくなれよ
Just Do It,justdoit
レモン一個に含まれるビタミンCはレモン一個分だぜ！,れもんいっこにふくまれるびたみんcはれもんいっこぶんだぜ
妖怪１足りない,ようかい1たりない
これが球体最も完璧です,これがきゅうたいもっともかんぺきです
ねぇ、今、どんな気持ち～？,ねぇ、いま、どんなきもち～？
４！,4
To be continued,tobecontinued
バーニラ　バニラでアルバイト～,ばーにらばにらであるばいとー
It's Pikachu!,it'spikachu
絶対合格してやるぜぇ！\n待ってろキャンパスライフぅー！,ぜったいごうかくしてやるぜ\nまってろきゃんぱすらいふー
ﾁｸｼｮｫｰ!,ちくしょー
わかルマン,わかるまん
ワイトもそう思います,わいともそうおもいます
ｱｻﾋｨｽｩｰﾊﾟｰﾄﾞｩﾗｧｲ,あさひすーぱーどらい
焼きそばだよ！,やきそばだよ
アルゼンチンペソしかないよ！,あるぜんちんぺそしかないよ
レビオーサ、あなたのはレビオサー,れびおーさあなたのはれびおさー
エンダーイヤー,えんだーいやー
はい、サイドチェスト！,はいさいどちぇすと
肩にちっちゃい重機乗せてんのかい！,かたにちっちゃいじゅうきのせてんのかい
カビキラーの浸透力,かびきらーのしんとうりょく
ﾚﾚｼﾞｷﾞｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞ　ｷﾞｶﾞｷﾞｶﾞﾌﾝﾌﾝｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞ,れれじぎががががががががぎがぎがふんふんがががががががが
俺の勝ち。\nなんで負けたか明日まで考えておいてください,おれのかち\nなんでまけたかあしたまでかんがえておいてください
こちらが、濃厚とんこつ豚無双さんの濃厚無双ラーメン、海苔トッピングです。,こちらがのうこうとんこつぶたむそうさんののうこうむそうらーめんのりとっぴんぐです
ディアルガVSパルキア\nVSダークライ,でぃあるがたいぱるきあ\nたいだーくらい
ダニィ！,だにぃ
ﾄﾞｩﾜｧｾﾝﾅﾅﾋｬｸ!,どぅわぁせんななひゃく
ランランルー,らんらんるー
ハンバーガー４個分くらいかな,はんばーがー4こぶんくらいかな
な"に"こ"れ"！？,なにこれ
ﾊｧｲ\n  __\n /__/\n/\n\|O O|\n |_O_|,はぁい
ｼｮﾎﾞｰﾝ(´・ω・`),しょぼーん
（＾ω＾ ≡ ＾ω＾）おっおっおっおっ,おっおっおっおっ
みっくみくにしてやんよ,みっくみくにしてやんよ
怒った？,おこった
敗北者じゃけぇ,はいぼくしゃじゃけぇ
う\nい\nビ\n｜\nム\n,う\n　い\n　　び\n　　　ー\n　　　　む
オレレレオレオレオレレレレオレオレレ,おれれれおれおれおれれれれおれおれれ
青眼の白龍,ぶるーあいずほわいとどらごん
あーそういうことね\n完全に理解した,あーそういうことね\nかんぜんにりかいした
はいクソー\n二度とやらんわこんなクソゲー,はいくそー\nにどとやらんわこんなくそげー
ポプテピピック,ぽぷてぴぴっく
Falling through the cracks\n暗闇へ落ちてく\n\n        ｌｌｌ\n     __ ｌｌｌ __\n    (_ \____／ _ )\n     ＼        ／\n     ／        ＼\n   ◯（ 、Ａ .  ）◯\n       ∨ ￣ ∨\n,くらやみへおちてく
21歳!,21さい
もちろん俺らは抵抗するで？拳で,もちろんおれらはていこうするでこぶしで
お前が正しい根拠を言え,おまえがただしいこんきょをいえ
詳しく,kwsk
シバくぞゴルァ！,しばくぞごるぁ
取り消せよ\n今の言葉,とりけせよ\nいまのことば
１コメ,1こめ
やんないじゃない！\nできないんだ！,やんないじゃない\nできないんだ
国道40号ばばばばばばえおうぃおい〜べべべべべべべべべえべえええべえべべべえ,こくどう40ごうばばばばばばえおうぃおいべべべべべべべべべえべえええべえべべべえ
ヤバイわよ！,やばいわよ
超エキサイティン！,ちょうえきさいてぃん
最終鬼畜妹フランドール・S,さいしゅうきちくいもうとふらんどーる・すかーれっと
ドラえもん、バトルドームも出たぁ！！,どらえもんばとるどーむもでたぁ
BOOKOFFなのに本ねーじゃん！,ぶっくおふなのにほんねーじゃん
大三元！\n四暗刻単騎！\n国士無双！,\nだいさんげん\nすーあんこうたんき\nこくしむそう
ゆっくり霊夢です。\nゆっくり魔理沙だぜ。,ゆっくりれいむです\nゆっくりまりさだぜ
鼻から出たピーナッツ,はなからでたぴーなっつ
離れて離れて,はなれてはなれて
踊ってない夜を知らない,おどってないよるをしらない
筋肉モリモリのワンちゃんじゃ,きんにくもりもりのわんちゃんじゃ
高齢化？高齢化？,こうれいかこうれいか
ドナルドは嬉しくなるとついやっちゃうんだ,どなるどはうれしくなるとついやっちゃうんだ
積み上げたものぶっ壊して,つみあげたものぶっこわして
なんだろう、嘘つくのやめてもらっていいですか？,なんだろううそつくのやめてもらっていいですか
へいらっしゃい,へいらっしゃい
価格は200円,かかくは200えん
打打打打打打打打打打,だだだだだだだだだだ
てってってー,てってってー
ばなな( ᐛ ),ばなな
送ってやるよ地獄に！！,おくってやるよじごくに
教育教育教育教育\n死刑死刑死刑死刑\n教育教育教育教育教,きょういくきょういくきょういくきょういく\nしけいしけいしけいしけい\nきょういくきょういくきょういくきょういく
